Unnamed: 0,YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
6508,2021,4,CA,Total Electric Power Industry,Total,14769968.0
6571,2021,4,CO,Total Electric Power Industry,Total,4279299.0
6618,2021,4,CT,Total Electric Power Industry,Total,3214657.0
6659,2021,4,DC,Total Electric Power Industry,Total,13034.0
6670,2021,4,DE,Total Electric Power Industry,Total,201068.0
6699,2021,4,FL,Total Electric Power Industry,Total,18559241.0
6745,2021,4,GA,Total Electric Power Industry,Total,9491086.0
6791,2021,4,HI,Total Electric Power Industry,Total,707736.0
6831,2021,4,IA,Total Electric Power Industry,Total,5186013.0
6874,2021,4,ID,Total Electric Power Industry,Total,1138586.0
6912,2021,4,IL,Total Electric Power Industry,Total,13213966.0
6962,2021,4,IN,Total Electric Power Industry,Total,6260578.0
7008,2021,4,KS,Total Electric Power Industry,Total,3977917.0
7035,2021,4,KY,Total Electric Power Industry,Total,5027893.0
7061,2021,4,LA,Total Electric Power Industry,Total,6973411.0
7098,2021,4,MA,Total Electric Power Industry,Total,1067242.0
7144,2021,4,MD,Total Electric Power Industry,Total,3032541.0
7186,2021,4,ME,Total Electric Power Industry,Total,789774.0
7228,2021,4,MI,Total Electric Power Industry,Total,8005531.0
7286,2021,4,MN,Total Electric Power Industry,Total,4008361.0
7336,2021,4,MO,Total Electric Power Industry,Total,5007319.0
7381,2021,4,MS,Total Electric Power Industry,Total,5250313.0
7409,2021,4,MT,Total Electric Power Industry,Total,1452107.0
7444,2021,4,NC,Total Electric Power Industry,Total,9084334.0
7496,2021,4,ND,Total Electric Power Industry,Total,3216452.0
7523,2021,4,NE,Total Electric Power Industry,Total,2649137.0
7556,2021,4,NH,Total Electric Power Industry,Total,1336591.0
7591,2021,4,NJ,Total Electric Power Industry,Total,4354739.0
7637,2021,4,NM,Total Electric Power Industry,Total,2352372.0
7671,2021,4,NV,Total Electric Power Industry,Total,3193979.0
7709,2021,4,NY,Total Electric Power Industry,Total,8906133.0
7764,2021,4,OH,Total Electric Power Industry,Total,8148727.0
7818,2021,4,OK,Total Electric Power Industry,Total,5931632.0
7855,2021,4,OR,Total Electric Power Industry,Total,4688397.0
7896,2021,4,PA,Total Electric Power Industry,Total,16304237.0
7949,2021,4,RI,Total Electric Power Industry,Total,328291.0
7974,2021,4,SC,Total Electric Power Industry,Total,7326029.0
8021,2021,4,SD,Total Electric Power Industry,Total,1461322.0
8049,2021,4,TN,Total Electric Power Industry,Total,5823772.0
8092,2021,4,TX,Total Electric Power Industry,Total,34948733.0
8217,2021,4,UT,Total Electric Power Industry,Total,2691287.0
8255,2021,4,VA,Total Electric Power Industry,Total,6858530.0
8306,2021,4,VT,Total Electric Power Industry,Total,176735.0
8335,2021,4,WA,Total Electric Power Industry,Total,7619336.0
8379,2021,4,WI,Total Electric Power Industry,Total,4873008.0
8429,2021,4,WV,Total Electric Power Industry,Total,4132805.0
8456,2021,4,WY,Total Electric Power Industry,Total,3142781.0
8484,2021,5,AK,Total Electric Power Industry,Total,411978.0
8519,2021,5,AL,Total Electric Power Industry,Total,11236484.0
8553,2021,5,AR,Total Electric Power Industry,Total,3999507.0
8593,2021,5,AZ,Total Electric Power Industry,Total,8851834.0
8629,2021,5,CA,Total Electric Power Industry,Total,16306001.0
8692,2021,5,CO,Total Electric Power Industry,Total,4214582.0
8739,2021,5,CT,Total Electric Power Industry,Total,3481474.0
8780,2021,5,DC,Total Electric Power Industry,Total,19053.0
8791,2021,5,DE,Total Electric Power Industry,Total,261192.0
8820,2021,5,FL,Total Electric Power Industry,Total,21703328.0
8866,2021,5,GA,Total Electric Power Industry,Total,10396751.0
8912,2021,5,HI,Total Electric Power Industry,Total,768042.0
8952,2021,5,IA,Total Electric Power Industry,Total,5040473.0
8995,2021,5,ID,Total Electric Power Industry,Total,1449455.0
9033,2021,5,IL,Total Electric Power Industry,Total,14946614.0
9083,2021,5,IN,Total Electric Power Industry,Total,6954828.0
9129,2021,5,KS,Total Electric Power Industry,Total,4358686.0
9156,2021,5,KY,Total Electric Power Industry,Total,5672897.0
9182,2021,5,LA,Total Electric Power Industry,Total,7782021.0
9219,2021,5,MA,Total Electric Power Industry,Total,1163695.0
9265,2021,5,MD,Total Electric Power Industry,Total,2973651.0
9307,2021,5,ME,Total Electric Power Industry,Total,836400.0
9349,2021,5,MI,Total Electric Power Industry,Total,7680195.0
9407,2021,5,MN,Total Electric Power Industry,Total,3806760.0
9457,2021,5,MO,Total Electric Power Industry,Total,5359853.0
9502,2021,5,MS,Total Electric Power Industry,Total,5447796.0
9530,2021,5,MT,Total Electric Power Industry,Total,1725658.0
9565,2021,5,NC,Total Electric Power Industry,Total,9878869.0
9615,2021,5,ND,Total Electric Power Industry,Total,3092296.0
9642,2021,5,NE,Total Electric Power Industry,Total,2866588.0
9675,2021,5,NH,Total Electric Power Industry,Total,1474352.0
9710,2021,5,NJ,Total Electric Power Industry,Total,4321683.0
9756,2021,5,NM,Total Electric Power Industry,Total,2688732.0
9790,2021,5,NV,Total Electric Power Industry,Total,3290100.0
9828,2021,5,NY,Total Electric Power Industry,Total,9532686.0
9883,2021,5,OH,Total Electric Power Industry,Total,8505274.0
9937,2021,5,OK,Total Electric Power Industry,Total,6008843.0
9974,2021,5,OR,Total Electric Power Industry,Total,4281163.0
10015,2021,5,PA,Total Electric Power Industry,Total,18150371.0
10068,2021,5,RI,Total Electric Power Industry,Total,509811.0
10093,2021,5,SC,Total Electric Power Industry,Total,8489479.0
10140,2021,5,SD,Total Electric Power Industry,Total,1473426.0
10168,2021,5,TN,Total Electric Power Industry,Total,6422444.0
10211,2021,5,TX,Total Electric Power Industry,Total,39422061.0
10336,2021,5,UT,Total Electric Power Industry,Total,3246822.0
10374,2021,5,VA,Total Electric Power Industry,Total,6160228.0
10424,2021,5,VT,Total Electric Power Industry,Total,178476.0
10453,2021,5,WA,Total Electric Power Industry,Total,8362897.0
10497,2021,5,WI,Total Electric Power Industry,Total,5103977.0
10547,2021,5,WV,Total Electric Power Industry,Total,5318117.0
10573,2021,5,WY,Total Electric Power Industry,Total,3230608.0
10601,2021,6,AK,Total Electric Power Industry,Total,531321.0
10636,2021,6,AL,Total Electric Power Industry,Total,12169896.0
10670,2021,6,AR,Total Electric Power Industry,Total,5764195.0
10710,2021,6,AZ,Total Electric Power Industry,Total,10663748.0
10746,2021,6,CA,Total Electric Power Industry,Total,18463000.0
10809,2021,6,CO,Total Electric Power Industry,Total,5034249.0
10856,2021,6,CT,Total Electric Power Industry,Total,3726065.0
10897,2021,6,DC,Total Electric Power Industry,Total,21155.0
10908,2021,6,DE,Total Electric Power Industry,Total,469354.0
10937,2021,6,FL,Total Electric Power Industry,Total,22633606.0
10983,2021,6,GA,Total Electric Power Industry,Total,12166686.0
11029,2021,6,HI,Total Electric Power Industry,Total,777545.0
11069,2021,6,IA,Total Electric Power Industry,Total,5732026.0
11112,2021,6,ID,Total Electric Power Industry,Total,1603708.0
11150,2021,6,IL,Total Electric Power Industry,Total,15858483.0
11200,2021,6,IN,Total Electric Power Industry,Total,8713097.0
11246,2021,6,KS,Total Electric Power Industry,Total,4940542.0
11273,2021,6,KY,Total Electric Power Industry,Total,6627472.0
