Date,Price,Open,High,Low,Vol.,Change %
8/4/2022,13311.04,"13,253.77","13,326.72","13,171.44",221.47M,0.44%
8/3/2022,13253.26,"12,980.47","13,287.26","12,980.32",282.67M,2.73%
8/2/2022,12901.60,"12,859.08","13,070.98","12,822.00",210.80M,-0.30%
8/1/2022,12940.78,"12,877.69","13,084.30","12,833.40",226.14M,-0.06%
7/29/2022,12947.97,"12,784.20","12,981.47","12,727.13",339.80M,1.81%
7/28/2022,12717.87,"12,581.08","12,741.54","12,433.55",244.83M,0.92%
7/27/2022,12601.47,"12,300.48","12,654.64","12,258.92",301.61M,4.26%
7/26/2022,12086.90,"12,251.29","12,255.87","12,051.24",224.01M,-1.96%
7/25/2022,12328.41,"12,391.21","12,415.59","12,244.99",188.91M,-0.55%
7/22/2022,12396.47,"12,574.84","12,662.86","12,322.93",235.82M,-1.77%
7/21/2022,12619.41,"12,466.13","12,619.41","12,351.97",219.96M,1.44%
7/20/2022,12439.68,"12,269.07","12,487.80","12,233.48",237.99M,1.55%
7/19/2022,12249.42,"12,046.69","12,258.37","11,968.41",265.21M,3.13%
7/18/2022,11877.50,"12,087.70","12,156.09","11,838.26",230.95M,-0.89%
7/15/2022,11983.62,"11,897.47","11,987.52","11,829.17",263.64M,1.83%
7/14/2022,11768.39,"11,637.38","11,800.99","11,488.27",204.46M,0.34%
7/13/2022,11728.53,"11,526.99","11,818.06","11,500.61",203.82M,-0.14%
7/12/2022,11744.99,"11,926.84","11,989.50","11,684.13",208.67M,-0.97%
7/11/2022,11860.28,"12,009.02","12,025.17","11,831.89",198.81M,-2.19%
7/8/2022,12125.69,"11,977.95","12,178.99","11,956.17",174.94M,0.14%
7/7/2022,12109.05,"11,913.73","12,137.66","11,898.17",224.03M,2.16%
7/6/2022,11852.59,"11,807.08","11,941.31","11,727.81",205.18M,0.62%
7/5/2022,11779.91,"11,423.05","11,780.98","11,367.30",246.56M,1.68%
7/1/2022,11585.68,"11,476.43","11,590.86","11,379.22",223.44M,0.71%
6/30/2022,11503.72,"11,532.32","11,649.30","11,323.70",291.13M,-1.33%
6/29/2022,11658.26,"11,617.68","11,709.55","11,537.90",191.18M,0.18%
6/28/2022,11637.77,"12,021.34","12,133.54","11,633.51",244.43M,-2.92%
6/27/2022,11987.36,"12,157.93","12,173.62","11,965.92",218.21M,-0.98%
6/24/2022,12105.85,"11,828.72","12,110.70","11,812.18",427.49M,3.49%
